,CBA-WBC,CBA-ANZ,CBA-NAB,CBA-MQG,WBC-ANZ,WBC-NAB,WBC-MQG,ANZ-NAB,ANZ-MQG,NAB-MQG
2014-12-01,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.01,0.22
2014-12-02,0.0,0.0,0.0,0.07,0.0,0.0,0.04,0.0,0.05,0.21
2014-12-03,0.0,0.0,0.0,0.16,0.0,0.0,0.06,0.0,0.01,0.1
2014-12-04,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.0,0.05,0.07
2014-12-05,0.0,0.0,0.0,0.1,0.0,0.0,0.11,0.0,0.01,0.2
2014-12-08,0.0,0.0,0.0,0.17,0.0,0.0,0.14,0.0,0.01,0.12
2014-12-09,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.0,0.04,0.27
2014-12-10,0.0,0.0,0.0,0.23,0.0,0.0,0.07,0.0,0.01,0.23
2014-12-11,0.0,0.0,0.0,0.33,0.0,0.0,0.01,0.0,0.0,0.14
2014-12-12,0.0,0.0,0.0,0.27,0.0,0.0,0.03,0.0,0.0,0.05
2014-12-15,0.0,0.0,0.0,0.34,0.0,0.0,0.01,0.0,0.0,0.08
2014-12-16,0.0,0.0,0.0,0.26,0.0,0.0,0.05,0.0,0.0,0.15
2014-12-17,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.06
2014-12-18,0.0,0.0,0.0,0.28,0.0,0.0,0.01,0.0,0.0,0.08
2014-12-19,0.0,0.0,0.0,0.19,0.0,0.0,0.01,0.0,0.0,0.12
2014-12-22,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.1
2014-12-23,0.0,0.0,0.0,0.14,0.0,0.0,0.01,0.0,0.0,0.16
2014-12-24,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.12
2014-12-29,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.13
2014-12-30,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.0,0.0,0.09
2014-12-31,0.0,0.0,0.0,0.19,0.0,0.0,0.01,0.0,0.0,0.14
2015-01-02,0.0,0.0,0.0,0.32,0.0,0.0,0.04,0.0,0.0,0.17
2015-01-05,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.12
2015-01-06,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.09
2015-01-07,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.1
2015-01-08,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.08
2015-01-09,0.0,0.0,0.0,0.43,0.0,0.0,0.02,0.0,0.0,0.05
2015-01-12,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.02
